drug,nct_id,title,status,phase,disease,first_submit,_row_id,disease_raw,disease_resolved_label,disease_resolved_id,resolve_status,accept_auto,reject_reason,extra_tokens,total_candidates_available,n_candidates_returned
Atorvastatin,NCT01812707,Efficacy and Safety Evaluation of Alirocumab (SAR236553/REGN727) in Patients With Primary Hypercholesterolemia on Stable Atorvastatin Therapy in Japan,COMPLETED,PHASE2,Hypercholesterolemia,2013-03-14 00:00:00+00:00,78,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT00701883,Safety and Benefit of MBX-8025 With and Without Commonly Used Statins in Moderately Overweight Patients With High Cholesterol,COMPLETED,PHASE2,Hyperlipidemia,2008-06-17 00:00:00+00:00,80,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,token_set_exact,True,,0,5,0
Atorvastatin,NCT07148037,Effect of SLC01B1 (rs4149956) Polymorphism on the Efficacy and Tolerability of Atorvastatin in Pakistani Population,COMPLETED,,Hyperlipidemias,2025-08-22 00:00:00+00:00,81,Hyperlipidemias,Hyperlipidemias,@DISEASE_Hyperlipidemias,exact,True,,0,3,0
Atorvastatin,NCT00139061,Assess HDL-C Increase And Non-HDL Lowering Effect Of Torcetrapib/Atorvastatin Vs. Fenofibrate,COMPLETED,PHASE3,Hyperlipidemia,2005-08-26 00:00:00+00:00,82,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,token_set_exact,True,,0,5,0
Atorvastatin,NCT02600520,Comparison of Rosuvastatin With Atorvastatin in Chronic Periodontitis,COMPLETED,PHASE2; PHASE3,Chronic Periodontitis,2015-11-06 00:00:00+00:00,83,Chronic Periodontitis,Chronic Periodontitis,@DISEASE_Chronic_Periodontitis,exact,True,,0,2,0
Atorvastatin,NCT06785974,Statins to Prevent Immune Checkpoint Inhibitor-induced PRogression of AtherosLerosis,NOT_YET_RECRUITING,PHASE4,Atherosclerosis; Melanoma; Immune-related Adverse Event,2024-12-16 00:00:00+00:00,84,Melanoma,Melanoma,@DISEASE_Melanoma,exact,True,,0,5,0
Atorvastatin,NCT02470455,Effect of Atorvastatin on Glycemic Control in Prediabetic Patients,COMPLETED,,Prediabetic State,2015-06-04 00:00:00+00:00,85,Prediabetic State,Prediabetic State,@DISEASE_Prediabetic_State,exact,True,,0,1,0
Atorvastatin,NCT03610217,Pragmatic Clinical Trials in Scleroderma,UNKNOWN,,"Scleroderma, Systemic; Sclerosis, Systemic",2018-07-25 00:00:00+00:00,89,"Scleroderma, Systemic",Scleroderma Systemic,@DISEASE_Scleroderma_Systemic,exact,True,,0,4,0
Atorvastatin,NCT01236430,A Study to Determine the Bioequivalence of SCH 900068 Compared to Marketed Products (Protocol No. P07551),COMPLETED,PHASE1,Hyperlipidemia,2010-11-05 00:00:00+00:00,91,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,token_set_exact,True,,0,5,0
Atorvastatin,NCT00296400,Prospective Evaluation of Proteinuria and Renal Function in Non-diabetic Patients With Progressive Renal Disease,COMPLETED,PHASE2,Hyperlipidemia,2006-02-23 00:00:00+00:00,93,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,token_set_exact,True,,0,5,0
Atorvastatin,NCT00917644,Bioequivalence Study Comparing A New 80 Mg Atorvastatin Tablet To A 80 Mg Atorvastatin Commercial Tablet,COMPLETED,PHASE4,Hypercholesterolemia,2009-06-08 00:00:00+00:00,94,Hypercholesterolemia,Hypercholesterolemia,@DISEASE_Hypercholesterolemia,exact,True,,0,5,0
Atorvastatin,NCT02437084,"Relationship Between Insulin Resistance and Statin Induced Type 2 Diabetes, and Integrative Personal Omics Profiling",COMPLETED,PHASE4,Hyperlipidemia; Insulin Resistance; Type 2 Diabetes,2015-04-24 00:00:00+00:00,95,Hyperlipidemia,Hyperlipidemias,@DISEASE_Hyperlipidemias,token_set_exact,True,,0,5,0
Atorvastatin,NCT02437084,"Relationship Between Insulin Resistance and Statin Induced Type 2 Diabetes, and Integrative Personal Omics Profiling",COMPLETED,PHASE4,Hyperlipidemia; Insulin Resistance; Type 2 Diabetes,2015-04-24 00:00:00+00:00,95,Insulin Resistance,Insulin Resistance,@DISEASE_Insulin_Resistance,exact,True,,0,5,0
Atorvastatin,NCT03874260,Cinical Trial to Explore the Efficacy of Statin/Choline Fenofibrate Combination Therapy vs Statin Monotherapy in Patients With Inadequately Controlled TG Despite Receiving Statin Monotherapy,UNKNOWN,PHASE4,Dyslipidemias,2019-03-12 00:00:00+00:00,99,Dyslipidemias,Dyslipidemias,@DISEASE_Dyslipidemias,exact,True,,0,1,0
Atorvastatin,NCT00728013,China Intensive Lipid Lowering With Statins in Acute Coronary Syndrome,UNKNOWN,,Acute Coronary Syndrome,2008-07-29 00:00:00+00:00,101,Acute Coronary Syndrome,Acute Coronary Syndrome,@DISEASE_Acute_Coronary_Syndrome,exact,True,,0,2,0
Atorvastatin,NCT05561062,Atorvastatin in Patients With Ulcerative Colitis,COMPLETED,PHASE2,Inflammatory Bowel Diseases,2022-09-27 00:00:00+00:00,102,Inflammatory Bowel Diseases,Inflammatory Bowel Diseases,@DISEASE_Inflammatory_Bowel_Diseases,exact,True,,0,1,0
