drug,nct_id,title,status,phase,disease,first_submit
Atorvastatin,NCT05298475,Low-dose PCSK9 Inhibitor Combined With Stains on Serum Lipids in Chinese Population With Acute Coronary Syndrome,UNKNOWN,PHASE4,Acute Coronary Syndrome,2022-03-13
Atorvastatin,NCT00141141,Efficacy And Safety Study Of Atorvastatin Versus Simvastatin In Type 2 Diabetic Subjects With Hypercholesterolemia,COMPLETED,PHASE4,Hypercholesterolemia,2005-08-30
Atorvastatin,NCT06083337,Vascular Inflammation ReDuction and Perivascular Fat Imaging by Computed Tomography,UNKNOWN,,"Coronary Artery Disease; Atheroscleroses, Coronary; Vascular Inflammation",2023-10-05
Atorvastatin,NCT02084069,Atrovastatin for Preventing Atrial Fibrillation Following Open Cardiac Valve Repair,COMPLETED,PHASE3,Heart Valve Diseases,2014-03-08
Atorvastatin,NCT00092716,Comparing an Investigational Medication Versus an Approved Medication in Reducing Cholesterol Levels (0653-025),COMPLETED,PHASE3,Hypercholesterolemia,2004-09-23
Atorvastatin,NCT00632840,Pharmacological Regulation of Fat Transport in Metabolic Syndrome,COMPLETED,PHASE4,Obesity; Lipid Disorders; Hypertriglyceridemia; Cardiovascular Disease,2008-02-20
Atorvastatin,NCT00134485,Study To Evaluate The Safety And Efficacy Of Torcetrapib/Atorvastatin In Subjects With Familial Hypercholerolemia,COMPLETED,PHASE3,"Hypercholesterolemia, Familial; Hyperlipidemia",2005-08-22
Atorvastatin,NCT04679376,Statins for the Treatment of NASH,RECRUITING,PHASE2,NASH - Nonalcoholic Steatohepatitis,2020-12-17
Atorvastatin,NCT05925140,LUSZ Treatment Efficacy in Hospitalized COVID-19 Patients,RECRUITING,PHASE1,COVID-19; Hospitalized COVID-19 Patients,2023-06-28
Atorvastatin,NCT00092690,MK0653A (Ezetimibe (+) Simvastatin) Compared to an Approved Drug (Atorvastatin) for the Treatment of High Cholesterol (0653A-051)(COMPLETED),COMPLETED,PHASE3,Hypercholesterolemia,2004-09-23
Atorvastatin,NCT03867318,"Efficacy and Safety Study of Ezetimibe (SCH 58235, MK-0653) in Addition to Atorvastatin in Participants With Coronary Heart Disease or Multiple Cardiovascular Risk Factors (P00693/MK-0653-030)",COMPLETED,PHASE3,Hypercholesterolemia,2019-03-06
Atorvastatin,NCT03703635,Balloon Angioplasty for Symptomatic Intracranial Artery Stenosis,UNKNOWN,,Intracranial Artery Stenosis,2018-09-30
Atorvastatin,NCT00576576,Evaluation of Atorvastatin on Atherosclerosis Composition,COMPLETED,,Atherosclerosis,2007-12-17
Atorvastatin,NCT00979940,"Effects of Short Term, High Dose Atorvastatin Therapy on Periprocedural Myonecrosis and Platelet Inhibition After Percutaneous Coronary Intervention (PCI)",TERMINATED,,Coronary Artery Disease,2009-09-17
Atorvastatin,NCT03657472,Bioequivalence Study of CJ-30061 in Healthy Male Volunteers,COMPLETED,PHASE1,Hypertension; Hyperlipidemia,2018-08-09
Atorvastatin,NCT05747768,"A Clinical Study to Evaluate the Pharmacokinetics of Microdose Midazolam, Dabigatran, Pitavastatin, Atorvastatin and Rosuvastatin in Healthy Volunteers and Renal Impairment Patients",UNKNOWN,PHASE4,Chronic Kidney Disease,2023-02-06
Atorvastatin,NCT00977288,A Study of Safety and Efficacy of MK0859 (Anacetrapib) in Japanese Patients With Dyslipidemia (0859-029),COMPLETED,PHASE2,Dyslipidemia,2009-09-14
Atorvastatin,NCT03872388,Atorvastatin in Treating Patients With Stage IIb-III Triple Negative Breast Cancer Who Did Not Achieve a Pathologic Complete Response After Receiving Neoadjuvant Chemotherapy,TERMINATED,PHASE2,Anatomic Stage IIB Breast Cancer AJCC v8; Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breast Cancer AJCC v8; Anatomic Stage IIIC Breast Cancer AJCC v8; Estrogen Receptor Negative; HER2/Neu Negative; Inflammatory Breast Carcinoma; Progesterone Receptor Negative; Prognostic Stage IIB Breast Cancer AJCC v8; Prognostic Stage III Breast Cancer AJCC v8; Prognostic Stage IIIA Breast Cancer AJCC v8; Prognostic Stage IIIB Breast Cancer AJCC v8; Prognostic Stage IIIC Breast Cancer AJCC v8; Stage IIB Breast Cancer AJCC v6 and v7; Stage III Breast Cancer AJCC v7; Stage IIIA Breast Cancer AJCC v7; Stage IIIB Breast Cancer AJCC v7; Stage IIIC Breast Cancer AJCC v7; Triple-Negative Breast Carcinoma,2019-03-11
Atorvastatin,NCT01375075,A Study of LY2484595 in Japanese Subjects,COMPLETED,PHASE2,Dyslipidemias,2011-06-15
Atorvastatin,NCT01299181,A Trial of Atorvastatin as an Anti-Inflammatory Agent in Non-Cystic Fibrosis Bronchiectasis,COMPLETED,PHASE4,Bronchiectasis,2010-10-21
Atorvastatin,NCT02114346,High Dose Atorvastatin for Preventing Contrast-induced Nephropathy,COMPLETED,PHASE2; PHASE3,Contrast-Induced Nephropathy,2014-04-11
Atorvastatin,NCT00136942,A Swiss Study With Atorvastatin in Hyperlipidemic Patients Measuring LDL-Cholesterol,COMPLETED,PHASE3,Hyperlipidemia,2005-08-25
Atorvastatin,NCT02579356,To Evaluate the Drug-drug Interaction Between Telmisartan and Atorvastatin in Healthy Male Volunteers,COMPLETED,PHASE1,Diseases of the Circulatory System; Essential Hypertension,2015-10-13
Atorvastatin,NCT07045142,Metformin Alleviates Abnormal Glucose Metabolism Induced by Statins in Schizophrenia Patients,RECRUITING,PHASE3,Schizophrenia,2025-06-22
Atorvastatin,NCT06024096,Systems Biological Assessment of Statin Effect on Vaccine Responses,COMPLETED,PHASE4,Vaccine Response,2023-08-29
Atorvastatin,NCT00793754,Aspirin Statins Or Both For The Reduction Of Thrombin Generation In Diabetic People,COMPLETED,PHASE4,Diabetes Mellitus,2008-11-18
Atorvastatin,NCT01748279,The Effects of Atorvastatin Treatment in COPD Patients,COMPLETED,PHASE4,COPD,2012-12-09
Atorvastatin,NCT02455869,Comparison of Alendronate With Atorvastatin in Chronic Periodontitis,COMPLETED,PHASE2; PHASE3,Chronic Periodontitis,2015-05-19
Atorvastatin,NCT02662569,Safety and Efficacy of Evolocumab in Combination With Statin Therapy in Adults With Diabetes and Hyperlipidemia or Mixed Dyslipidemia,COMPLETED,PHASE3,"Diabetes, Hyperlipidemia, Mixed Dyslipidemia",2016-01-20
Atorvastatin,NCT00344370,Follow-On Study of Pitavastatin Versus Atorvastatin in Patients With Type II Diabetes Mellitus and Combined Dyslipidemia,COMPLETED,PHASE3,Type II Diabetes Mellitus; Dyslipidemia,2006-06-23
